,iata_code,icao_code,country_code,country_name,latitude,longitude,elev_ft,nrunways,longest_runway_ft,name,traffic_region,source
371,MDE,SKRG,CO,Colombia,6.16555555,-75.42194444,7027.0,1.0,11483.0,,South America,MIT_AEIC
372,GCI,EGJB,GB,United Kingdom,49.43611111,-2.60277777,336.0,1.0,4800.0,,Europe,MIT_AEIC
373,JER,EGJJ,GB,United Kingdom,49.21111111,-2.21666666,277.0,1.0,5597.0,,Europe,MIT_AEIC
374,RGN,VYYY,MM,Myanmar,16.90666666,96.13166666,109.0,1.0,8104.0,,Central and South-West Asia,MIT_AEIC
375,ZAG,LDZA,HR,Croatia,45.74166666,16.07027777,353.0,1.0,10669.0,,Europe,MIT_AEIC
376,MBJ,MKJS,JM,Jamaica,18.50194444,-77.9125,4.0,1.0,8735.0,,Central America/ Caribbean,MIT_AEIC
377,TOS,ENTC,NO,Norway,69.68138888,18.92166666,31.0,1.0,7848.0,,Europe,MIT_AEIC
378,HMO,MMHO,MX,Mexico,29.09638888,-111.0461111,627.0,2.0,7546.0,,Central America/ Caribbean,MIT_AEIC
379,OME,PAOM,US,United States,64.51138888,-165.44166669999998,37.0,2.0,6001.0,,North America,MIT_AEIC
380,AYT,LTAI,TR,Turkey,36.90555555,30.79055555,177.0,3.0,11155.0,,Europe,MIT_AEIC
381,NSN,NZNS,NZ,New Zealand,-41.3,173.21944440000001,17.0,4.0,4420.0,,Pacific South-East Asia,MIT_AEIC
382,WNZ,ZSWZ,CN,China,27.95,120.63333,7.0,1.0,7814.0,,Central and South-West Asia,MIT_AEIC
383,CEB,RPMC,PH,Philippines,10.33166666,123.90666670000002,189.0,1.0,6276.0,,Pacific South-East Asia,MIT_AEIC
384,SBN,KSBN,US,United States,41.70472222,-86.31666666,799.0,3.0,8414.0,,North America,MIT_AEIC
385,SAL,MSLP,SV,El Salvador,13.69361111,-89.11805555,101.0,2.0,10500.0,,Central America/ Caribbean,MIT_AEIC
386,VRN,LIPX,IT,Italy,45.46666666,10.93333333,240.0,1.0,10064.0,,Europe,MIT_AEIC
387,FOR,SBFZ,BR,Brazil,-3.77666666,-38.53444444,82.0,1.0,8350.0,,South America,MIT_AEIC
388,HKT,VTSP,TH,Thailand,8.11055555,98.3125,82.0,1.0,9843.0,,Pacific South-East Asia,MIT_AEIC
389,IBZ,LEIB,ES,Spain,38.87361111,1.37277777,24.0,1.0,9186.0,,Europe,MIT_AEIC
390,PSP,KPSP,US,United States,33.82666666,-116.505,477.0,2.0,10001.0,,North America,MIT_AEIC
391,CRW,KCRW,US,United States,38.37277777,-81.59305555,981.0,2.0,6302.0,,North America,MIT_AEIC
392,NGB,ZSNB,CN,China,29.83333333,121.53333329999998,13.0,1.0,10499.0,,Central and South-West Asia,MIT_AEIC
393,NAN,NFFN,FJ,Fiji,-17.7525,177.4469444,59.0,2.0,10788.0,,Pacific South-East Asia,MIT_AEIC
394,LGB,KLGB,US,United States,33.81749999,-118.15111110000001,60.0,5.0,10000.0,,North America,MIT_AEIC
395,OOL,YBCG,AU,Australia,-28.16611111,153.5036111,21.0,2.0,6697.0,,Pacific South-East Asia,MIT_AEIC
396,EIS,TUPJ,VG,British Virgin Islands,18.44388888,-64.54277777,15.0,1.0,4642.0,,Central America/ Caribbean,MIT_AEIC
397,DRS,EDDC,DE,Germany,51.13333333,13.76666666,754.0,1.0,9350.0,,Europe,MIT_AEIC
398,DAM,OSDI,SY,Syrian Arab Republic,33.41388888,36.51777777,2020.0,2.0,11811.0,,Middle East,MIT_AEIC
399,IOM,EGNS,GB,United Kingdom,54.08249999,-4.62777777,52.0,2.0,5751.0,,Europe,MIT_AEIC
400,LCE,MHLC,HN,Honduras,15.74055555,-86.85722222,49.0,1.0,9875.0,,Central America/ Caribbean,MIT_AEIC
401,FUE,GCFV,ES,Spain,28.44805555,-13.86194444,86.0,2.0,11158.0,,Europe,MIT_AEIC
402,ROA,KROA,US,United States,37.32472222,-79.97638888,1175.0,2.0,6800.0,,North America,MIT_AEIC
403,KTN,PAKT,US,United States,55.35833333,-131.71666670000002,88.0,2.0,9500.0,,North America,MIT_AEIC
404,DMM,OEDF,SA,Saudi Arabia,26.47111111,49.79777777,72.0,2.0,13124.0,,Middle East,MIT_AEIC
405,SDQ,MDSD,DO,Dominican Republic,18.42916666,-69.66916666,58.0,1.0,11000.0,,Central America/ Caribbean,MIT_AEIC
406,MMX,ESMS,SE,Sweden,55.53027777,13.37166666,236.0,2.0,9186.0,,Europe,MIT_AEIC
407,TYN,ZBYN,CN,China,37.82888888,112.555,2579.0,1.0,11812.0,,Central and South-West Asia,MIT_AEIC
408,KMI,RJFM,JP,Japan,31.87444444,131.4438889,20.0,1.0,8200.0,,North Asia,MIT_AEIC
409,GUA,MGGT,GT,Guatemala,14.58194444,-90.52749999,4952.0,1.0,9800.0,,Central America/ Caribbean,MIT_AEIC
410,PVR,MMPR,MX,Mexico,20.68194444,-105.24833329999998,23.0,1.0,10170.0,,Central America/ Caribbean,MIT_AEIC
411,SOF,LBSF,BG,Bulgaria,42.7,23.4,1745.0,1.0,11811.0,,Europe,MIT_AEIC
412,JOG,WIIJ,ID,Indonesia,-7.78972222,110.43055559999999,350.0,1.0,7215.0,,Pacific South-East Asia,MIT_AEIC
413,LHE,OPLA,PK,Pakistan,31.52083333,74.40277777,698.0,2.0,11024.0,,Central and South-West Asia,MIT_AEIC
414,TFS,GCTS,ES,Spain,28.04277777,-16.57055555,209.0,1.0,10499.0,,Europe,MIT_AEIC
415,PSA,LIRP,IT,Italy,43.68055555,10.39277777,6.0,2.0,9820.0,,Europe,MIT_AEIC
416,GRB,KGRB,US,United States,44.48805555,-88.13055555,695.0,2.0,8701.0,,North America,MIT_AEIC
417,TSN,ZBTJ,CN,China,39.11888888,117.34694440000001,10.0,1.0,11812.0,,Central and South-West Asia,MIT_AEIC
418,MLA,LMML,MT,Malta,35.83666666,14.54722222,300.0,2.0,11627.0,,Europe,MIT_AEIC
419,HAV,MUHA,CU,Cuba,22.98944444,-82.4075,210.0,1.0,13123.0,,Central America/ Caribbean,MIT_AEIC
420,CNF,SBCF,BR,Brazil,-19.63333333,-43.96666666,2715.0,1.0,9843.0,,South America,MIT_AEIC
421,DGA,XXXX,BZ,Belize,17.183332,-88.566666,3.0,1.0,2000.0,,Central America/ Caribbean,MIT_AEIC
422,ISB,OPRN,PK,Pakistan,33.61472222,73.09666666,1688.0,1.0,10785.0,,Central and South-West Asia,MIT_AEIC
423,VNO,EYVI,LT,Lithuania,54.63333333,25.28333333,646.0,1.0,8202.0,,Europe,MIT_AEIC
424,SJD,MMSD,MX,Mexico,23.15527777,-109.725,374.0,1.0,9843.0,,Central America/ Caribbean,MIT_AEIC
425,ACE,GCRR,ES,Spain,28.94249999,-13.60472222,47.0,1.0,7874.0,,Europe,MIT_AEIC
426,GUM,PGUM,GU,Guam,13.48166666,144.7933333,297.0,2.0,10015.0,,Pacific South-East Asia,MIT_AEIC
427,MYR,KMYR,US,United States,33.67916666,-78.92972222,25.0,1.0,9503.0,,North America,MIT_AEIC
428,FNT,KFNT,US,United States,42.96666666,-83.74166666,782.0,3.0,7849.0,,North America,MIT_AEIC
429,NNG,ZGNN,CN,China,22.81,108.33944440000002,421.0,1.0,8864.0,,Central and South-West Asia,MIT_AEIC
430,KNH,RCBS,TW,Taiwan,24.420555,118.344444,93.0,1.0,4865.0,,North Asia,MIT_AEIC
431,SNN,EINN,IE,Ireland,52.70055555,-8.91861111,46.0,5.0,10495.0,,Europe,MIT_AEIC
432,SHV,KSHV,US,United States,32.44694444,-93.82861111,258.0,2.0,8351.0,,North America,MIT_AEIC
433,SYX,ZJSY,CN,China,18.08333333,109.48333329999998,92.0,1.0,11155.0,,Central and South-West Asia,MIT_AEIC
434,PLS,MBPV,TC,Turks and Caicos Islands,21.77277777,-72.26833333,15.0,1.0,7598.0,,Central America/ Caribbean,MIT_AEIC
435,LEJ,EDDP,DE,Germany,51.4,12.41666666,470.0,2.0,11811.0,,Europe,MIT_AEIC
436,CNX,VTCC,TH,Thailand,18.77194444,98.96833333,1036.0,1.0,11137.0,,Pacific South-East Asia,MIT_AEIC
437,KHN,ZSCN,CN,China,28.68333333,115.88333329999999,50.0,1.0,8419.0,,Central and South-West Asia,MIT_AEIC
438,TLL,EETN,EE,Estonia,59.41666666,24.81666666,131.0,1.0,10072.0,,Europe,MIT_AEIC
439,AUA,TNCA,AW,Aruba,12.50222222,-70.01388888,60.0,1.0,9000.0,,Central America/ Caribbean,MIT_AEIC
440,LBB,KLBB,US,United States,33.66361111,-101.82222220000001,3282.0,3.0,11500.0,,North America,MIT_AEIC
441,PNH,VDPP,KH,Cambodia,11.54583333,104.8491667,40.0,1.0,9843.0,,Pacific South-East Asia,MIT_AEIC
442,FPO,MYGF,BS,Bahamas,26.55861111,-78.69555555,7.0,1.0,11019.0,,Central America/ Caribbean,MIT_AEIC
443,LJU,LJLJ,SI,Slovenia,46.22361111,14.4575,1273.0,1.0,10827.0,,Europe,MIT_AEIC
444,KMJ,RJFT,JP,Japan,32.83194444,130.8525,632.0,1.0,9840.0,,North Asia,MIT_AEIC
445,GYE,SEGU,EC,Ecuador,-2.15805555,-79.88416666,17.0,1.0,8005.0,,South America,MIT_AEIC
446,YYT,CYYT,CA,Canada,47.61694444,-52.75,461.0,3.0,8502.0,,North America,MIT_AEIC
447,MLI,KMLI,US,United States,41.44888888,-90.505,590.0,3.0,10002.0,,North America,MIT_AEIC
448,DTM,EDLW,DE,Germany,51.51666666,7.46666666,425.0,1.0,6562.0,,Europe,MIT_AEIC
449,MYJ,RJOM,JP,Japan,33.82222222,132.7041667,25.0,1.0,8200.0,,North Asia,MIT_AEIC
450,PMV,SVMG,VE,Venezuela (Bolivarian Republic of),10.96833333,-63.83333333,72.0,2.0,10499.0,,South America,MIT_AEIC
451,PHF,KPHF,US,United States,37.13166666,-76.49333333,43.0,2.0,8003.0,,North America,MIT_AEIC
452,ITO,PHTO,US,United States,19.72361111,-155.0580556,38.0,2.0,9800.0,,North America,MIT_AEIC
453,RTM,EHRD,NL,Netherlands,51.95833333,4.44444444,-14.0,1.0,7218.0,,Europe,MIT_AEIC
454,EUG,KEUG,US,United States,44.12083333,-123.2175,374.0,2.0,8009.0,,North America,MIT_AEIC
455,BTR,KBTR,US,United States,30.53166666,-91.15055555,70.0,3.0,7500.0,,North America,MIT_AEIC
456,FMO,EDDG,DE,Germany,52.13527777,7.68611111,160.0,1.0,7119.0,,Europe,MIT_AEIC
457,KRK,EPKK,PL,Poland,50.08333333,19.78333333,791.0,1.0,8366.0,,Europe,MIT_AEIC
458,MFR,KMFR,US,United States,42.37361111,-122.87222220000001,1335.0,2.0,8800.0,,North America,MIT_AEIC
459,BFI,KBFI,US,United States,47.52888888,-122.29944440000001,21.0,2.0,10000.0,,North America,MIT_AEIC
460,FAO,LPFR,PT,Portugal,37.01444444,-7.97083333,24.0,1.0,8169.0,,Europe,MIT_AEIC
461,REP,VDSR,KH,Cambodia,13.41055555,103.81277779999999,60.0,1.0,8366.0,,Pacific South-East Asia,MIT_AEIC
462,ADD,HAAB,ET,Ethiopia,8.97777777,38.79805555,7656.0,2.0,12467.0,,Sub Saharan Africa,MIT_AEIC
463,BPN,WRLL,ID,Indonesia,-1.26805555,116.89305559999998,12.0,1.0,8185.0,,Pacific South-East Asia,MIT_AEIC
464,CHA,KCHA,US,United States,35.03638888,-85.20361111,683.0,2.0,7400.0,,North America,MIT_AEIC
465,CRP,KCRP,US,United States,27.76999999,-97.50083333,44.0,2.0,7508.0,,North America,MIT_AEIC
466,STX,TISX,VI,U.S. Virgin Islands,17.70388888,-64.79888888,74.0,1.0,10004.0,,Central America/ Caribbean,MIT_AEIC
467,ISG,ROIG,JP,Japan,24.33694444,124.1688889,7.0,1.0,4920.0,,North Asia,MIT_AEIC
468,CFE,LFLC,FR,France,45.78583333,3.16749999,1089.0,1.0,9892.0,,Europe,MIT_AEIC
469,ATW,KATW,US,United States,44.25777777,-88.51999999,918.0,2.0,8002.0,,North America,MIT_AEIC
470,MPH,RPMY,PH,Philippines,11.925833,121.952225,2051.0,1.0,3153.0,,Pacific South-East Asia,MIT_AEIC
471,DKR,GOOY,SN,Senegal,14.74083333,-17.49055555,89.0,2.0,11450.0,,Sub Saharan Africa,MIT_AEIC
472,ALA,UAAA,KZ,Kazakhstan,43.35,77.03333333,2234.0,1.0,14429.0,,Central and South-West Asia,MIT_AEIC
473,SLU,TLPC,LC,Saint Lucia,14.01916666,-60.99277777,22.0,1.0,5735.0,,Central America/ Caribbean,MIT_AEIC
474,PIK,EGPK,GB,United Kingdom,55.50305555,-4.57555555,65.0,2.0,9800.0,,Europe,MIT_AEIC
475,GRO,LEGE,ES,Spain,41.90916666,2.76333333,468.0,1.0,7874.0,,Europe,MIT_AEIC
476,PLJ,XXXX,BZ,Belize,16.533333,-88.352776,42.0,1.0,1800.0,,Central America/ Caribbean,MIT_AEIC
477,TRF,ENTO,NO,Norway,59.18777777,10.26027777,286.0,1.0,9217.0,,Europe,MIT_AEIC
478,CAG,LIEE,IT,Italy,39.24722222,9.06111111,12.0,1.0,9186.0,,Europe,MIT_AEIC
479,USM,VTSM,TH,Thailand,9.55055555,100.0619444,64.0,1.0,6893.0,,Pacific South-East Asia,MIT_AEIC
