,ac_code_icao,n_eng,e_type,wake,engine_bada,manual_file,engine_id,engine_database,combustor_description,eng_type,bp_ratio,press_ratio,rated_output,to_hc,co_hc,app_hc,idle_hc,lto_hc,to_co,co_co,app_co,idle_co,lto_co,to_nox,co_nox,app_nox,idle_nox,lto_nox,to_sn,co_sn,app_sn,idle_sn,max_sn,fuel_spec,to_fflow,co_fflow,app_fflow,idle_fflow,lto_fuel,amb_baro,amb_temp,humidity,manufacturer,source,synonyms,power,to_pm,co_pm,app_pm,idle_pm,valid
608,F18S,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
609,F1FV,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
610,F2,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
611,F22,2,Jet,M,F100-PW-229,F15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
612,F260,1,Piston,L,IO-550-G,M20P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
613,F26T,1,Turboprop,L,M250-B17F/2,E500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
614,F27,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
615,F28,2,Jet,M,Spey 555-15H,F28,4RR035,Spey 555,Transply IIF,MTF,1,15.9,44,0.15,0.22,0.33,3.41,552,1.54,2.08,5.78,31.16,5203,17.33,13.06,5.05,2.23,2160,27.97,26.4,24.39,8.09,27.97,AVTUR,0.735,0.593,0.221,0.0964,313,100.2,287,.0068-.0088,Rolls Royce plc,icao,,,,,,,TRUE
616,F2TH,2,Jet,M,PW308C,F2TH,14PW103,PW308C Build Spec 1289,TALON II,MTF,4.1,21.07,31.15,0,0,0,0.39,30,0.5,0.57,4.18,37.05,2961,19.1,14.96,6.8,3.53,1359,6.6,6.8,2.2,5.7,8.2,Jet A-1,0.37,0.307,0.116,0.049,160,98.32 - 100.73,275 - 278,0.0024 - 0.0047,Pratt & Whitney Canada,icao,,,,,,,TRUE
617,F30,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
618,F35,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
619,F4,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
620,F406,2,Turboprop,L,PT6A-112,F406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
621,F5,2,Jet,M,Larzac 04-C5,AJET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
622,F50,2,Turboprop,M,PW125B,F50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
623,F5SA,2,Jet,M,Larzac 04-C5,AJET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
624,F60,2,Turboprop,M,PW125B,F50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
625,F600,1,Turboprop,L,PT6A-34,KODI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
626,F70,2,Jet,M,Tay 620-15,F70,1RR020,TAY Mk620-15 ,,MTF,3,16.1,61.6,0.8,0.3,0.9,3.4,684,0.7,0.8,3.9,24.1,4440,21.1,16.8,5.7,2.5,2814,21.3,18.86,13.1,3.36,21.3,AVTUR,0.76,0.63,0.23,0.11,342,100,288,0.005,Rolls Royce plc,icao,,,,,,,TRUE
627,F8,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
628,F86,2,Jet,M,Larzac 04-C5,AJET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
629,F8L,1,Piston,L,IO-360-C1C6,P28T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
630,F900,3,Jet,M,TFE731-60,F900,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
631,FA01,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
632,FA02,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
633,FA03,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
634,FA04,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
635,FA10,2,Jet,M,TFE731-2-1C,FA10,1AS001,TFE731-2-2B,,TF,2.64,13.9,15.6,0.114,0.128,4.26,20.04,823,1.394,2.03,22.38,58.6,2612,15.25,13.08,5.9,2.82,630,,,,,,ASTM D1655-73T,0.205,0.173,0.067,0.024,85,96.7-98.1,285 - 288,.0066-.0087,Allied Signal,icao,,,,,,,TRUE
636,FA11,1,Piston,L,IO-520-D,C188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
637,FA20,2,Jet,M,CF700-2D2,FA20,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
638,FA24,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
639,FA50,3,Jet,M,TFE731-40,FA50,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
640,FA5X,3,Jet,M,PW307A,FA7X,11PW100,PW307A,TALON II,TF,4.2,20.21,28.49,0,0,0,3.24,226,0.57,0.72,3.37,39.6,2878,15.82,13.67,6.78,2.39,1045,0.4,0.33,0,1.57,1.6,Jet A-1,0.329,0.274,0.102,0.045,144,99.15 - 100.25,292 - 297,0.0078 - 0.0120,Pratt & Whitney Canada,icao,,,,,,,TRUE
641,FA62,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
642,FA7X,3,Jet,M,PW307A,FA7X,11PW100,PW307A,TALON II,TF,4.2,20.21,28.49,0,0,0,3.24,226,0.57,0.72,3.37,39.6,2878,15.82,13.67,6.78,2.39,1045,0.4,0.33,0,1.57,1.6,Jet A-1,0.329,0.274,0.102,0.045,144,99.15 - 100.25,292 - 297,0.0078 - 0.0120,Pratt & Whitney Canada,icao,,,,,,,TRUE
643,FA8X,3,Jet,M,PW307A,FA7X,11PW100,PW307A,TALON II,TF,4.2,20.21,28.49,0,0,0,3.24,226,0.57,0.72,3.37,39.6,2878,15.82,13.67,6.78,2.39,1045,0.4,0.33,0,1.57,1.6,Jet A-1,0.329,0.274,0.102,0.045,144,99.15 - 100.25,292 - 297,0.0078 - 0.0120,Pratt & Whitney Canada,icao,,,,,,,TRUE
644,FAET,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
645,FALM,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
646,FBA2,1,Piston,L,IO-520-L,C210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
647,FDCT,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
648,FDMC,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
649,FFLY,2,Piston,L,GTSIO-520-N,C421,P121,TIO-540-J2B2,,,,,,12.36,16.63,13.38,68.08,,1442.1,1470.9,1261.6,1293.7,,0.36,0.24,1.39,0.39,,,,,,,,0.0327,0.0258,0.0125,0.0032,,,,,,faeed165,TIO-540-...,350,0.1,0.07,0.04,0.05,TRUE
650,FGTH,1,Jet,M,GTSIO-520-N,FGTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
651,FGTL,4,Jet,H,GTSIO-520-N,FGTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
652,FK12,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
653,FK14,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
654,FK9,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
655,FLCO,1,Piston,L,65hp petrol,FLCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
656,FLSS,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
657,FM25,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
658,FOUG,1,Jet,L,AI-25TL,L39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
659,FOX,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
660,FU24,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
661,FURY,2,Piston,L,TSIO-520-E,C402,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
662,FUSI,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
663,FW02,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
664,FW44,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
665,FX1,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
666,G103,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
667,G109,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
668,G115,1,Piston,L,TSIO-360-FB,P28U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
669,G120,1,Piston,L,IO-550-B,BE36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
670,G12T,1,Turboprop,L,M250-B17F/2,E500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
671,G140,1,Turboprop,L,M250-B17F/2,E500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
672,G150,2,Jet,M,TFE731-40AR,G150,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
673,G159,2,Turboprop,M,PW119B,D328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
674,G160,1,Turboprop,L,PT6A-34,KODI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
675,G164,1,Piston,L,IO-520-D,C188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
676,G180,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
677,G200,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
678,G202,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
679,G21,2,Piston,L,IO-520-C,BE58,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
680,G21M,2,Piston,L,TSIO-520-NB,C414,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
681,G21T,2,Turboprop,L,PT6A-42,BE20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
682,G222,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
683,G250,2,Jet,M,HTF7250G,G280,11HN005, HTF7250G (AS907-2-1G),SABER-1,MTF,4.2,22.58,32.86,0.05,0.06,0.12,0.99,,0.57,0.6,6.07,30.48,,18.43,16.44,8.96,3.965,,13.6,10.6,0.8,1.8,13.6,Jet-A,0.372,0.308,0.107,0.049,158,96.44-97.59,296-313,0.0013-0.0125,Honeywell,icao,,,,,,,TRUE
684,G280,2,Jet,M,HTF7250G,G280,11HN005, HTF7250G (AS907-2-1G),SABER-1,MTF,4.2,22.58,32.86,0.05,0.06,0.12,0.99,,0.57,0.6,6.07,30.48,,18.43,16.44,8.96,3.965,,13.6,10.6,0.8,1.8,13.6,Jet-A,0.372,0.308,0.107,0.049,158,96.44-97.59,296-313,0.0013-0.0125,Honeywell,icao,,,,,,,TRUE
685,G2GL,1,Jet,L,AI-25TL,L39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
686,G2T1,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
687,G3,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
688,G44,1,Piston,L,IO-520-D,C188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
689,G4SG,1,Jet,L,AI-25TL,L39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
690,G70,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
691,G73,2,Piston,L,GTSIO-520-N,C421,P121,TIO-540-J2B2,,,,,,12.36,16.63,13.38,68.08,,1442.1,1470.9,1261.6,1293.7,,0.36,0.24,1.39,0.39,,,,,,,,0.0327,0.0258,0.0125,0.0032,,,,,,faeed165,TIO-540-...,350,0.1,0.07,0.04,0.05,TRUE
692,G73T,1,Turboprop,L,PT6A-114A,C208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
693,GA10,1,Turboprop,L,PT6A-34,P750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
694,GA20,1,Piston,L,IO-520-D,C188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
695,GA5C,3,Jet,M,PW307A,FA7X,11PW100,PW307A,TALON II,TF,4.2,20.21,28.49,0,0,0,3.24,226,0.57,0.72,3.37,39.6,2878,15.82,13.67,6.78,2.39,1045,0.4,0.33,0,1.57,1.6,Jet A-1,0.329,0.274,0.102,0.045,144,99.15 - 100.25,292 - 297,0.0078 - 0.0120,Pratt & Whitney Canada,icao,,,,,,,TRUE
696,GA6C,2,Jet,M,BR700-710A2-20,GL5T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
697,GA7,1,Piston,L,IO-520-L,C210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
698,GA8,1,Piston,L,TSIO-360-FB,P28U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
699,GABR,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
700,GALX,2,Jet,M,HTF7250G,G280,11HN005, HTF7250G (AS907-2-1G),SABER-1,MTF,4.2,22.58,32.86,0.05,0.06,0.12,0.99,,0.57,0.6,6.07,30.48,,18.43,16.44,8.96,3.965,,13.6,10.6,0.8,1.8,13.6,Jet-A,0.372,0.308,0.107,0.049,158,96.44-97.59,296-313,0.0013-0.0125,Honeywell,icao,,,,,,,TRUE
701,GC1,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
702,GEMI,1,Piston,L,IO-360-L2A,C172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
703,GENI,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
704,GL5T,2,Jet,M,BR700-710A2-20,GL5T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
705,GL7T,2,Jet,M,BR700-710A2-20,GLEX,4BR009,BR700-710A2-20,,MTF,4.19,24.16,65.61,0.02,0.02,0.05,1.12,160,1.04,0.93,4.81,28,4239,18.73,15.03,7.67,4.67,2784,13.96,11.87,0.27,0.57,13.96,AVTUR,0.714,0.595,0.214,0.089,299,100.9-101.2,282.9-286.7,.0064-.0087,Rolls-Royce Deutschland,icao,,,,,,,TRUE
706,GLAS,1,Piston,L,IO-550-G,M20P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
707,GLEX,2,Jet,M,BR700-710A2-20,GLEX,4BR009,BR700-710A2-20,,MTF,4.19,24.16,65.61,0.02,0.02,0.05,1.12,160,1.04,0.93,4.81,28,4239,18.73,15.03,7.67,4.67,2784,13.96,11.87,0.27,0.57,13.96,AVTUR,0.714,0.595,0.214,0.089,299,100.9-101.2,282.9-286.7,.0064-.0087,Rolls-Royce Deutschland,icao,,,,,,,TRUE
708,GLF2,2,Jet,M,Spey 511-8,GLF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
709,GLF3,2,Jet,M,Spey 511-8,GLF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
710,GLF4,2,Jet,M,Spey 511-8,GLF2,11RR048,TAY611-8C,Tubular,MTF,3.26,15.88,61.6,0.03,0.05,0.65,1.49,275,0.5,0.95,2.89,24.4,4123,19.3,15.4,5.31,2.53,2500,4.39,3.46,0.46,0.21,4.7,-,0.731,0.604,0.215,0.102,321,99.9 - 102,281.4 - 292.5,0.00475 - 0.00587,Rolls Royce plc,icao,,,,,,,TRUE
711,GLF5,2,Jet,M,BR700-710C4-11,GLF5,6BR010,BR700-710C4-11,Annular,MTF,4.05,24.95,68.77,0.02,0.02,0.05,2.29,301,1.04,0.92,4.92,31.57,4449,19.52,15.43,7.71,4.5,2850,14.34,12.36,0.35,0.45,14.34,AVTUR,0.747,0.617,0.215,0.083,294,100.9 - 101.2,282.9 - 286.7,0.0064 - 0.0087,Rolls-Royce Deutschland,icao,,,,,,,TRUE
712,GLF6,2,Jet,M,BR700-710A2-20,GLEX,4BR009,BR700-710A2-20,,MTF,4.19,24.16,65.61,0.02,0.02,0.05,1.12,160,1.04,0.93,4.81,28,4239,18.73,15.03,7.67,4.67,2784,13.96,11.87,0.27,0.57,13.96,AVTUR,0.714,0.595,0.214,0.089,299,100.9-101.2,282.9-286.7,.0064-.0087,Rolls-Royce Deutschland,icao,,,,,,,TRUE
713,GLSP,1,Piston,L,TSIO-360-FB,P28U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
714,GLST,1,Piston,L,TSIO-360-FB,P28U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
715,GM17,1,Turboprop,L,PT6A-34,KODI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
716,GNAT,1,Jet,L,AI-25TL,L39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
717,GOLF,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
718,GP1,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
719,GP4,1,Piston,L,IO-540-C4D5D,TB20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
720,GRIZ,1,Turboprop,L,PT6A-34,P750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
721,GSPN,2,Jet,L,JT15D-4,C550,1PW036,JT15D-4 series,,TF,2.68,10.1,11.12,0.09,0.19,5.15,40,1706,2.1,3.18,32,97,4478,9.23,8.56,5.29,2.63,409,14.1,,,,14.1,Jet A-1,0.1697,0.143,0.059,0.0261,81,103.146,257,0.0015,Pratt & Whitney (Canada),icao,,,,,,,TRUE
722,GX,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
723,GY20,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
724,GY80,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
725,H207,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
726,H25A,2,Jet,M,Viper 522,H25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
727,H25B,2,Jet,M,TFE731-5BR-1H,H25B,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
728,H25C,2,Jet,M,TFE731-40AR,G150,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
729,H40,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
730,HA4T,2,Jet,M,PW308A,HA4T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
731,HAR,2,Jet,M,Larzac 04-C5,AJET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
732,HAWK,1,Jet,M,F405-RR-401,HAWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
733,HB21,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
734,HB23,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
735,HB3,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
736,HDJT,2,Jet,L,HF120-H1A,HDJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
737,HELI,1,Piston,L,O-320-D3G,P28A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
738,HERN,2,Piston,L,TAE 120-01 Centurion,DA42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
739,HF20,2,Jet,M,Viper 522,H25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
740,HN70,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
741,HR10,1,Piston,L,IO-550-G,M20P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
742,HR20,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
