,ac_code_icao,n_eng,e_type,wake,engine_bada,manual_file,engine_id,engine_database,combustor_description,eng_type,bp_ratio,press_ratio,rated_output,to_hc,co_hc,app_hc,idle_hc,lto_hc,to_co,co_co,app_co,idle_co,lto_co,to_nox,co_nox,app_nox,idle_nox,lto_nox,to_sn,co_sn,app_sn,idle_sn,max_sn,fuel_spec,to_fflow,co_fflow,app_fflow,idle_fflow,lto_fuel,amb_baro,amb_temp,humidity,manufacturer,source,synonyms,power,to_pm,co_pm,app_pm,idle_pm,valid
294,C140,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
295,C141,2,Jet,H,CF6-80C2A2,A310,2GE037,CF6-80C2A2,1862M39,TF,5.1,27.79,233.35,0.05,0.05,0.12,1.9,602,0.04,0.05,2.56,21.97,6958,22.35,18.37,11.86,4.49,9339,5.8,3.2,0,0,5.8,Jet A,2.152,1.771,0.59,0.192,765,97.61-98.15,279-293,.00457-.00743,GE Aircraft Engines,icao,,,,,,,TRUE
296,C14T,1,Turboprop,L,M250-B17F/2,E500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
297,C15,3,Jet,M,D-30KU-154-II,T154,1AA004,D-30KU-154,,MTF,2.3,17,107.5,0.4,0.5,1.9,12.7,4389,3,3.6,18.2,77.7,27627,14.5,11.6,5.1,2.9,4000,,,,,,TS-1,1.42,1.1,0.42,0.207,629,102.3-102.6,289 - 291,0.01119,Aviadvigatel,icao,,,,,,,TRUE
298,C150,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
299,C152,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
300,C160,2,Turboprop,M,Tyne 522,C160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
301,C162,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
302,C17,2,Jet,H,CF6-80C2B8F,B764,2GE055,CF6-80C2B7F,1862M39,TF,5.1,31.72,267.03,0.05,0.05,0.11,1.43,490,0.05,0.04,1.93,18.42,6166,27.38,21.05,12.63,4.81,12420,6.9,5.3,0,0,6.9,Jet A,2.594,2.104,0.682,0.203,867,97.61-98.15,279-293,.00457-.00743,GE Aircraft Engines,icao,,,,,,,TRUE
303,C170,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
304,C172,1,Piston,L,IO-360-L2A,C172,PF03,IO-360-A1B6,,,,,,15.46,16.66,20.63,48.31,,1293.95,1305.69,1364.62,1094.75,,1.48,1.49,1.09,2.19,,,,,,,,0.0136,0.0106,0.0062,0.0014,,,,,,foca,IO-360,200,0.1,0.2,0.5,0.1,TRUE
305,C175,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
306,C177,1,Piston,L,IO-360-L2A,C172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
307,C180,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
308,C182,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
309,C185,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
310,C188,1,Piston,L,IO-520-D,C188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
311,C190,1,Piston,L,IO-550-G,M20P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
312,C195,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
313,C2,2,Turboprop,M,Tyne 522,C160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
314,C205,1,Piston,L,IO-540-AC1A5,C206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
315,C206,1,Piston,L,IO-540-AC1A5,C206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
316,C207,1,Piston,L,IO-540-AC1A5,C206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
317,C208,1,Turboprop,L,PT6A-114A,C208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
318,C210,1,Piston,L,IO-520-L,C210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
319,C212,2,Turboprop,M,TPE331-12 UAR,JS32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
320,C21T,1,Turboprop,L,PT6A-64,TBM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
321,C22J,2,Jet,L,PW610F-A,EA50,1PW035,JT15D-1 series,,TF,3.3,9.76,9.79,0.01,0.01,4.43,50.5,1866,2.65,3.5,40.5,132,5306,7.6,6.77,3.44,1.75,263,15,,,,15,Jet A-1,0.148,0.124,0.051,0.023,71,100.526,290,0.0079,Pratt & Whitney (Canada),icao,,,,,,,TRUE
322,C240,1,Piston,L,TSIO-550-K,S22T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
323,C25A,2,Jet,L,FJ44-3A-24,C25A,1PW035,JT15D-1 series,,TF,3.3,9.76,9.79,0.01,0.01,4.43,50.5,1866,2.65,3.5,40.5,132,5306,7.6,6.77,3.44,1.75,263,15,,,,15,Jet A-1,0.148,0.124,0.051,0.023,71,100.526,290,0.0079,Pratt & Whitney (Canada),icao,,,,,,,TRUE
324,C25B,2,Jet,L,FJ44-3A,C25B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
325,C25C,2,Jet,M,FJ44-4A,C25C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
326,C25M,2,Jet,L,FJ44-1AP,C525,1PW035,JT15D-1 series,,TF,3.3,9.76,9.79,0.01,0.01,4.43,50.5,1866,2.65,3.5,40.5,132,5306,7.6,6.77,3.44,1.75,263,15,,,,15,Jet A-1,0.148,0.124,0.051,0.023,71,100.526,290,0.0079,Pratt & Whitney (Canada),icao,,,,,,,TRUE
327,C270,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
328,C27J,2,Turboprop,M,AE2100-D2,C27J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
329,C295,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
330,C303,2,Piston,L,TIO-540-A2C,PA31,PF01,IO-550-B,,,,,,12.65,12.32,11.52,42.62,,826.59,795.04,1064.62,1163.39,,6.64,7.31,2.7,0.52,,,,,,,,0.0182,0.018,0.0098,0.0038,,,,,,foca,IO-550,300,0.1,0.07,0.04,0.05,TRUE
331,C309,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
